"","CRITERIA","PAIN_CAT","ICD_VERSION","ICD9_OR_10","ICD_DESC"
"1","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"A1801","Tuberculosis of spine"
"2","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"A1802","Tuberculous arthritis of other joints"
"3","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"A1803","Tuberculosis of other bones"
"4","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"A5216","Charcot's arthropathy (tabetic)"
"5","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"D481","Neoplasm of uncertain behavior of connective and other soft tissue"
"6","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E08610","Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy"
"7","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E08618","Diabetes mellitus due to underlying condition with other diabetic arthropathy"
"8","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E09610","Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy"
"9","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E09618","Drug or chemical induced diabetes mellitus with other diabetic arthropathy"
"10","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E10610","Type 1 diabetes mellitus with diabetic neuropathic arthropathy"
"11","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E10618","Type 1 diabetes mellitus with other diabetic arthropathy"
"12","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E11610","Type 2 diabetes mellitus with diabetic neuropathic arthropathy"
"13","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E11618","Type 2 diabetes mellitus with other diabetic arthropathy"
"14","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E13610","Other specified diabetes mellitus with diabetic neuropathic arthropathy"
"15","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"E13618","Other specified diabetes mellitus with other diabetic arthropathy"
"16","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0000","Staphylococcal arthritis, unspecified joint"
"17","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00011","Staphylococcal arthritis, right shoulder"
"18","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00012","Staphylococcal arthritis, left shoulder"
"19","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00019","Staphylococcal arthritis, unspecified shoulder"
"20","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00021","Staphylococcal arthritis, right elbow"
"21","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00022","Staphylococcal arthritis, left elbow"
"22","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00029","Staphylococcal arthritis, unspecified elbow"
"23","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00031","Staphylococcal arthritis, right wrist"
"24","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00032","Staphylococcal arthritis, left wrist"
"25","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00039","Staphylococcal arthritis, unspecified wrist"
"26","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00041","Staphylococcal arthritis, right hand"
"27","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00042","Staphylococcal arthritis, left hand"
"28","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00049","Staphylococcal arthritis, unspecified hand"
"29","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00051","Staphylococcal arthritis, right hip"
"30","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00052","Staphylococcal arthritis, left hip"
"31","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00059","Staphylococcal arthritis, unspecified hip"
"32","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00061","Staphylococcal arthritis, right knee"
"33","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00062","Staphylococcal arthritis, left knee"
"34","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00069","Staphylococcal arthritis, unspecified knee"
"35","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00071","Staphylococcal arthritis, right ankle and foot"
"36","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00072","Staphylococcal arthritis, left ankle and foot"
"37","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00079","Staphylococcal arthritis, unspecified ankle and foot"
"38","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0008","Staphylococcal arthritis, vertebrae"
"39","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0009","Staphylococcal polyarthritis"
"40","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0010","Pneumococcal arthritis, unspecified joint"
"41","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00111","Pneumococcal arthritis, right shoulder"
"42","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00112","Pneumococcal arthritis, left shoulder"
"43","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00119","Pneumococcal arthritis, unspecified shoulder"
"44","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00121","Pneumococcal arthritis, right elbow"
"45","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00122","Pneumococcal arthritis, left elbow"
"46","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00129","Pneumococcal arthritis, unspecified elbow"
"47","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00131","Pneumococcal arthritis, right wrist"
"48","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00132","Pneumococcal arthritis, left wrist"
"49","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00139","Pneumococcal arthritis, unspecified wrist"
"50","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00141","Pneumococcal arthritis, right hand"
"51","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00142","Pneumococcal arthritis, left hand"
"52","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00149","Pneumococcal arthritis, unspecified hand"
"53","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00151","Pneumococcal arthritis, right hip"
"54","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00152","Pneumococcal arthritis, left hip"
"55","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00159","Pneumococcal arthritis, unspecified hip"
"56","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00161","Pneumococcal arthritis, right knee"
"57","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00162","Pneumococcal arthritis, left knee"
"58","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00169","Pneumococcal arthritis, unspecified knee"
"59","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00171","Pneumococcal arthritis, right ankle and foot"
"60","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00172","Pneumococcal arthritis, left ankle and foot"
"61","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00179","Pneumococcal arthritis, unspecified ankle and foot"
"62","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0018","Pneumococcal arthritis, vertebrae"
"63","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0019","Pneumococcal polyarthritis"
"64","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0020","Other streptococcal arthritis, unspecified joint"
"65","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00211","Other streptococcal arthritis, right shoulder"
"66","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00212","Other streptococcal arthritis, left shoulder"
"67","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00219","Other streptococcal arthritis, unspecified shoulder"
"68","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00221","Other streptococcal arthritis, right elbow"
"69","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00222","Other streptococcal arthritis, left elbow"
"70","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00229","Other streptococcal arthritis, unspecified elbow"
"71","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00231","Other streptococcal arthritis, right wrist"
"72","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00232","Other streptococcal arthritis, left wrist"
